20.000000	43
0.050000	0.027751	0.209891
0.050000	0.018553	0.533505
0.100000	0.284472	0.514681
0.100000	0.284990	0.672988
0.150000	1.016913	0.711226
0.195000	1.091563	0.761874
0.199999	1.465686	0.658056
0.215000	1.888221	0.577904
0.245000	2.275013	0.789852
0.250000	1.636785	0.373119
0.295000	1.420641	0.445134
0.300000	1.641977	0.354178
0.335000	1.099449	0.440765
0.345000	1.624135	0.479909
0.394999	1.551165	0.428214
0.395000	1.107803	0.428638
0.444999	0.733669	0.779209
0.445000	1.684277	0.610922
0.495000	0.699335	0.918776
0.495000	1.799953	0.654888
0.500000	1.730835	0.658484
0.545000	1.984406	0.903013
0.595000	2.215599	0.670852
0.620000	2.840508	0.828774
0.645000	3.519496	1.285477
0.645000	1.830389	1.167687
0.695000	3.374396	1.051390
0.745000	1.931130	1.022122
0.745000	3.158940	1.091660
0.775000	2.027903	1.043157
0.790000	1.563098	1.127155
0.795000	3.232275	1.772948
0.840000	0.700935	1.556245
0.845000	2.656346	1.368065
0.890000	0.425381	1.726924
0.895000	2.012414	1.041871
0.940000	1.958318	0.919053
0.940000	0.730716	1.387265
0.990000	2.475013	1.045351
1.039999	1.284592	1.220319
1.040000	2.956630	1.471919
1.050000	1.298601	1.417658
1.090000	3.274913	1.629774
30.000000	53
0.050000	0.000489	0.564184
0.050000	0.019343	0.977980
0.100000	0.311022	0.815478
0.150000	0.926839	0.977665
0.175000	1.727206	1.071243
0.199999	1.182060	0.922093
0.200000	2.649726	1.319196
0.250000	1.309861	0.850155
0.250000	2.527470	1.147331
0.300000	1.019372	1.090160
0.300000	2.195230	0.943938
0.345000	1.042270	0.876113
0.350000	1.874195	0.738356
0.394999	0.915841	0.765672
0.399999	1.643690	0.538641
0.445000	0.994674	0.583959
0.450000	1.556367	0.414768
0.494999	1.037594	0.709133
0.495000	1.721111	0.481520
0.524999	1.606691	0.485299
0.545000	2.297685	0.711395
0.595000	1.874711	0.302273
0.644999	2.330766	0.500405
0.645000	1.620371	0.743900
0.680000	1.909430	0.518940
0.694999	2.625516	0.548688
0.695000	2.715064	0.631413
0.745000	2.347243	0.381839
0.745000	2.958564	0.514266
0.795000	2.130177	0.758293
0.830000	2.569881	0.493218
0.845000	3.411988	0.752835
0.895000	2.863821	0.412732
0.895001	3.089550	0.386648
0.940000	2.749919	0.469968
0.945000	3.045584	0.364654
0.990000	2.493963	0.813827
0.995000	3.528144	0.569914
1.000000	3.417466	0.422004
1.040003	3.645909	0.512062
1.045000	3.407038	0.247723
1.090000	3.304222	0.291783
1.090000	3.725931	0.839860
1.140000	2.977966	0.833275
1.140000	3.598159	1.476806
1.190000	1.890046	1.165950
1.200000	1.655894	1.015594
1.240000	1.167454	1.351691
1.290000	1.561445	0.789332
1.340000	2.260869	0.714988
1.340000	2.882852	1.012304
1.390000	2.670875	0.615716
1.390000	2.940232	0.423233
40.000000	84
0.049999	0.003190	0.681023
0.050001	0.009099	0.605960
0.080000	0.381130	0.655749
0.100000	1.120555	0.802199
0.100001	0.317272	0.865268
0.145000	1.529154	0.738643
0.150001	0.985154	0.761656
0.170001	1.671193	0.688192
0.195000	1.591475	0.475889
0.200001	2.357051	0.792192
0.244999	1.468784	0.574312
0.245001	2.207750	0.600363
0.275001	2.232617	0.560850
0.295000	1.402049	0.929540
0.295001	2.959204	0.963641
0.320000	1.968032	0.539754
0.345000	2.448832	0.662658
0.345001	2.058438	0.475614
0.385001	1.599381	0.700477
0.395000	2.032516	0.373181
0.395001	2.475436	0.487735
0.445000	2.558927	0.685279
0.445001	2.006044	0.382469
0.495000	2.225485	0.627879
0.495001	1.465320	0.655505
0.545000	1.903833	0.519273
0.545001	1.016242	0.858311
0.595000	1.808755	0.490530
0.595001	1.186332	0.704047
0.645000	2.161414	0.725104
0.645001	1.388193	0.685737
0.695000	2.211714	0.591251
0.695001	1.751927	0.802195
0.740000	2.481551	0.840763
0.745000	1.926888	0.957751
0.750000	3.421285	1.121298
0.790000	3.599561	1.165580
0.795001	2.157690	0.944390
0.840000	3.310282	0.716069
0.845001	2.217815	0.995443
0.880001	2.696405	0.557668
0.890000	3.024406	0.453971
0.890001	3.617630	0.834595
0.940000	2.813071	0.737225
0.940001	3.016551	0.622993
0.955000	3.720716	0.692892
0.990000	4.113144	1.178386
0.990001	2.539480	1.026689
1.040000	3.751982	0.888853
1.040001	2.476688	0.988366
1.090000	3.406140	0.695129
1.090001	2.571812	0.721045
1.140000	3.301292	0.584302
1.140001	2.729723	0.526687
1.190000	3.253287	0.512435
1.190001	2.596767	0.675115
1.240000	3.480343	0.589207
1.240001	2.659877	0.816145
1.250001	3.599234	0.574292
1.290000	3.482109	0.399270
1.290001	3.846814	0.594381
1.339999	3.648096	0.407254
1.340001	3.156300	0.542889
1.385000	3.829330	0.632181
1.390001	2.841251	0.683131
1.435000	3.781856	0.678563
1.440001	2.863285	0.583439
1.484999	3.275107	0.582088
1.485001	3.162332	0.519558
1.535000	2.786607	0.529241
1.535001	2.194837	0.816714
1.585000	2.924698	0.639887
1.585001	1.824507	1.030515
1.635000	3.132423	0.789808
1.635001	2.153387	0.910587
1.685000	3.334392	0.833228
1.685001	2.799839	0.440935
1.735000	3.378432	0.680748
1.735001	2.931141	0.293330
1.780001	2.783299	0.258574
1.785000	2.754891	0.269712
1.835001	2.642326	0.159181
1.885001	2.718741	0.053281
1.935001	2.712292	0.047440
50.000000	86
0.050000	0.000596	0.224207
0.050000	0.043537	0.580859
0.095000	0.355961	0.496778
0.099999	0.151190	0.777705
0.100000	1.156438	0.717854
0.150000	0.928111	0.547351
0.150000	1.543533	0.669070
0.194999	1.165209	0.278127
0.200000	1.544149	0.401413
0.245000	1.268595	0.232382
0.250000	1.497508	0.368061
0.295000	0.939506	0.399870
0.300000	1.301735	0.254256
0.345000	0.951502	0.287175
0.350000	1.146303	0.140157
0.395000	1.036369	0.146301
0.399999	1.121023	0.103036
0.445000	1.129957	0.084319
0.450000	1.187337	0.338914
0.495000	1.271614	0.633136
0.500000	1.028996	0.772105
0.520000	1.978868	0.707319
0.545000	2.611855	1.145042
0.550000	1.302940	0.797904
0.595000	2.318369	0.590975
0.600000	1.443540	0.842003
