20.000000	50
0.049999	0.014720	0.238230
0.050000	0.008746	0.516757
0.100000	0.212193	0.479880
0.100000	0.376976	0.510285
0.149999	0.952744	0.594923
0.150000	0.916088	0.681003
0.190000	1.180854	0.825284
0.195000	1.499707	0.698108
0.200000	2.174828	0.773808
0.200000	2.673689	1.108986
0.244999	2.090178	0.714075
0.250000	1.619451	0.723032
0.295000	1.234404	0.862799
0.300000	0.903089	0.682898
0.344999	0.706341	0.522643
0.350000	0.173383	0.601078
0.394999	0.461730	0.250163
0.399999	0.327232	0.251640
0.444999	0.517871	0.200444
0.445000	0.590066	0.267313
0.494999	0.625608	0.317525
0.495000	0.774932	0.460613
0.544999	1.140098	0.706800
0.545000	0.160812	1.228469
0.584999	1.574895	1.095453
0.594999	0.068293	1.524518
0.594999	2.504834	1.847355
0.644999	0.462758	1.291996
0.644999	2.171962	1.456160
0.694999	0.530123	1.202949
0.694999	1.698511	0.874028
0.744999	0.640617	0.849710
0.744999	1.370082	0.664903
0.794999	1.208434	0.663208
0.795000	0.606801	0.461493
0.844999	0.534420	0.480317
0.844999	0.097537	0.600091
0.875000	0.346879	0.209007
0.890000	0.552319	0.384351
0.894999	0.552890	0.404754
0.940000	0.458926	0.528931
0.944999	1.344959	0.887385
0.990000	0.241498	0.736670
0.994999	1.362349	0.848733
1.040000	0.134141	0.815447
1.044999	1.032948	0.728190
1.090000	0.567175	0.495186
1.140000	0.225022	0.396154
1.160000	0.155950	0.485717
1.190000	0.182058	0.224234
30.000000	53
0.050000	0.013784	0.522983
0.089999	0.285179	0.670299
0.100000	0.410460	0.637639
0.149999	0.781592	0.625713
0.150000	1.494074	0.790690
0.194999	1.150672	0.441160
0.200000	1.636901	0.715740
0.245000	0.808844	0.614580
0.250000	1.262060	0.429292
0.290000	0.514785	0.768243
0.294999	1.646884	0.965841
0.300000	1.059771	0.536594
0.344999	0.272943	0.682498
0.349999	0.536649	0.562452
0.394999	0.669633	0.371059
0.400000	0.221833	0.478045
0.444999	0.989967	0.529317
0.444999	0.227235	0.501918
0.494999	0.913830	0.533494
0.545000	0.547968	0.352883
0.545003	0.626912	0.386621
0.594999	0.182085	0.717874
0.644999	0.129674	0.697967
0.644999	1.077958	0.827611
0.690000	1.373528	1.024586
0.694999	0.356770	0.963848
0.694999	2.341639	1.811481
0.745000	0.245010	1.014586
0.794999	0.228924	0.915829
0.840000	0.254647	0.939627
0.844999	0.947901	0.707837
0.890000	0.042639	0.614257
0.894999	0.899283	0.616360
0.940000	0.115584	0.613814
0.944999	0.833565	0.594790
0.990000	0.185743	0.534954
0.994999	0.769747	0.520769
1.040000	0.089574	0.535129
1.045000	0.843777	0.574495
1.090000	0.148441	0.477835
1.140000	0.436676	0.310674
1.189999	0.274801	0.331875
1.190000	0.779261	0.502452
1.224999	0.179279	0.839451
1.240000	0.451822	0.674396
1.240000	1.306308	0.677814
1.289999	1.743964	1.048261
1.290000	0.792773	0.542206
1.340000	1.458678	0.707250
1.389999	0.604864	0.649067
1.390000	0.771349	0.419632
1.434999	0.339857	0.752964
1.440000	1.211433	0.663637
40.000000	71
0.050000	0.001361	1.369818
0.100000	0.285740	1.098234
0.150000	0.952295	1.060759
0.155000	2.156370	1.340965
0.200000	1.180193	0.870774
0.200001	2.618352	1.249204
0.250000	1.984164	0.788531
0.250000	1.007261	0.805451
0.290000	1.474771	0.673608
0.300000	0.784730	0.645907
0.335000	0.796170	0.478646
0.349999	1.477248	0.693457
0.350001	1.027920	0.460798
0.400000	0.203001	0.945701
0.410000	1.136301	0.563175
0.449999	0.511174	0.595372
0.450003	1.523623	0.942731
0.495000	0.533678	0.576543
0.500000	1.101484	0.613413
0.545000	0.403293	0.768292
0.550000	1.091668	0.605654
0.594999	0.141790	0.917029
0.595001	1.516746	0.859906
0.620000	0.514927	0.752020
0.644999	1.202096	0.643060
0.645001	1.668432	0.761330
0.694999	0.853930	0.684162
0.695001	1.870688	0.982169
0.744999	0.571907	0.974279
0.745001	1.745881	1.037510
0.794999	0.269498	1.202521
0.795001	1.693030	1.136777
0.844999	0.301344	1.083783
0.845001	1.616316	1.187367
0.894999	0.104087	1.169989
0.895001	1.421593	1.038484
0.944999	0.008416	1.114772
0.945001	1.376007	0.911919
0.980000	0.220409	0.869306
0.995000	0.982832	0.665429
0.995001	1.278943	0.804290
1.044999	0.124610	0.839823
1.045001	1.366482	0.759872
1.090000	0.128488	0.966060
1.094999	0.906498	0.637737
1.095000	1.518548	0.904842
1.140000	0.582225	0.667349
1.145001	1.636057	1.189095
1.190000	0.217809	0.804543
1.240000	0.091274	0.664674
1.290000	0.077445	0.898877
1.340000	0.108812	0.620679
1.389999	0.174056	0.598599
1.390001	1.622890	1.397546
1.440000	0.068914	0.914634
1.489999	0.035111	1.065477
1.490000	1.677440	1.273690
1.540000	0.011065	0.878360
1.540001	1.288956	0.955063
1.589999	0.445204	1.166081
1.590000	0.175019	1.513337
1.640000	1.693981	1.057085
1.690000	2.471832	1.559351
1.735000	2.369971	1.409281
1.740000	0.424407	1.440088
1.784999	1.839764	0.906257
1.790001	0.768426	0.832154
1.834999	1.280301	0.557104
1.835001	0.954787	0.443951
1.885001	0.932950	0.223040
1.935000	0.707585	0.382928
50.000000	95
0.049999	0.004641	0.748795
0.050000	0.013456	0.771580
0.100000	0.370901	0.978907
0.120000	1.248770	0.911646
0.150000	0.866390	0.905458
0.150001	2.245260	1.103162
0.195002	1.302346	0.672711
0.200001	2.173510	0.761107
0.230000	2.237286	0.793703
0.244999	1.315982	0.788907
0.250000	2.686972	1.424885
0.294999	0.876946	1.008807
0.300000	1.594434	0.858728
0.344999	0.370407	1.134186
0.350000	0.753241	0.589735
0.375000	0.936659	0.619068
0.395000	0.010182	0.879881
0.400000	1.547897	0.951688
0.444999	0.406988	0.634737
0.450000	0.773639	0.661568
0.470000	1.143596	0.709185
0.494999	0.381656	0.862712
0.495001	1.782965	1.239258
0.544999	0.054837	1.214302
0.545001	1.670186	1.204744
0.594999	0.102423	1.186810
0.595004	1.453739	0.963039
0.644999	0.284059	1.015677
0.645001	1.245973	0.644753
0.670000	0.884954	0.502724
0.694999	1.541339	0.624215
0.695001	1.268535	0.268389
0.744999	1.236366	0.258511
0.745001	1.273756	0.448374
0.794999	0.811294	0.432761
0.795000	1.199615	0.588090
0.840000	0.317805	0.785026
0.845000	1.165896	0.731658
0.890000	0.132500	0.885151
0.895000	1.322315	0.983844
0.940000	0.037430	0.922047
0.945001	1.149985	0.874734
0.989999	0.026978	0.890307
0.995000	1.001660	0.682366
1.040000	0.147459	0.800168
1.045001	0.950124	0.539005
1.064999	0.602059	0.443763
1.089999	1.261663	0.776764
1.090000	1.110828	0.520452
1.140000	0.590229	0.624485
1.189999	0.089905	1.010023
1.190001	1.043819	0.767180
1.215001	1.668113	1.127274
1.240000	0.323500	1.129863
1.240000	2.269626	1.430697
