20.000000	48
0.045000	0.012026	0.690404
0.050000	0.008221	0.620948
0.085001	0.220589	0.691650
0.095001	1.189506	0.873887
0.100000	0.327213	0.921395
0.130000	1.383830	0.727741
0.140001	0.906543	0.740220
0.145001	1.996068	0.867648
0.150001	1.643964	0.416003
0.195001	1.862161	0.502967
0.200000	1.828739	0.642987
0.245001	1.173685	0.556861
0.250001	1.609192	0.696207
0.295001	0.435885	0.874582
0.295001	1.221556	0.752613
0.345000	0.570223	0.577815
0.345001	0.130933	0.576140
0.395001	0.214069	0.587334
0.395004	0.168155	0.483405
0.400000	0.843602	0.491110
0.445001	0.936952	0.477692
0.445001	0.603647	0.311609
0.495001	0.986448	0.243622
0.545001	0.571887	0.669719
0.545001	0.880654	0.503475
0.585001	1.046997	0.539188
0.595000	2.008527	1.199710
0.595001	0.685999	0.811729
0.600001	0.389415	1.402825
0.645001	2.076648	1.111678
0.645001	0.805421	1.269876
0.650001	2.765502	1.593047
0.690000	2.810902	1.616115
0.695001	0.714288	1.274953
0.740000	1.738359	1.217410
0.745001	0.452580	1.110565
0.790000	0.558586	0.529721
0.795000	0.127973	0.974977
0.800000	0.463161	0.562402
0.840000	0.310089	1.212929
0.845001	1.763159	1.267787
0.890000	0.713730	1.369250
0.895000	2.846719	1.819920
0.915001	0.818135	1.462339
0.940000	3.029225	1.654917
0.940001	0.958345	1.480995
0.990000	2.521928	1.243055
1.035001	1.763186	0.970621
30.000000	55
0.015001	0.015001	0.224747
0.050000	0.332359	0.320432
0.050001	0.014373	0.519394
0.100000	0.240428	0.433612
0.100000	0.780047	0.496748
0.150001	0.795642	0.490347
0.150003	0.887186	0.584450
0.175001	1.405316	0.639277
0.200000	0.416602	0.862022
0.200001	1.946162	1.124386
0.220000	1.016909	0.528918
0.250000	1.061506	0.527971
0.295001	0.467703	0.861806
0.300000	1.030102	0.380743
0.330000	1.405640	0.773991
0.345000	1.115910	0.869819
0.350000	1.665670	1.289073
0.395001	2.923411	1.920693
0.400000	0.438608	1.913394
0.445001	4.137281	2.966339
0.450000	0.215267	2.586277
0.495001	0.125973	2.869555
0.495001	4.381625	3.394455
0.545001	0.196554	2.691311
0.545001	4.011104	2.739638
0.595000	0.387502	2.716604
0.595001	3.565756	2.381272
0.625004	2.624541	1.552630
0.645001	0.619856	1.639800
0.645001	1.890232	0.971405
0.680001	1.177754	0.881290
0.695001	1.827115	0.755421
0.695001	2.325790	0.984195
0.745001	1.268909	1.142839
0.745001	2.817348	1.211453
0.795001	0.683585	1.921225
0.795001	3.181843	1.827144
0.845001	3.524495	1.904625
0.895001	0.191469	3.083712
0.895001	4.150103	2.474911
0.940000	4.780238	3.394917
0.945001	0.005642	4.166511
0.990000	5.625829	4.029981
0.995001	0.025220	4.477888
1.040001	5.712143	4.650912
1.045000	0.005249	4.051817
1.090000	5.855313	4.718727
1.095001	0.030237	4.370542
1.140000	0.350926	3.515107
1.140000	6.920575	5.876167
1.190000	0.932464	2.507262
1.240000	0.692662	2.570252
1.290000	0.536231	2.873676
1.340000	0.229611	0.458714
1.390000	0.031524	0.493650
40.000000	70
0.050001	0.350073	0.272358
0.100000	0.083532	0.379437
0.100001	0.307698	0.463359
0.125001	0.736980	0.455535
0.150001	0.249672	0.484782
0.200000	1.220831	0.754245
0.200003	0.625104	0.305263
0.250000	0.489554	0.390495
0.250001	0.504882	0.500995
0.280001	0.759009	0.489077
0.300000	0.008522	0.680747
0.300001	1.322042	1.041929
0.345000	0.126691	0.677059
0.350001	0.022761	0.771426
0.395001	0.493423	0.627384
0.400001	0.999909	0.720102
0.445000	0.856494	0.557883
0.450001	1.458144	0.990799
0.465001	0.047608	0.833340
0.475000	0.796330	0.580708
0.495000	0.058203	0.669704
0.495001	0.282652	0.267373
0.545000	0.335424	0.266166
0.545001	0.301129	0.199951
0.570001	0.045344	0.362515
0.590000	0.553761	0.288216
0.595000	0.524965	0.313871
0.595001	0.352089	0.208538
0.645001	0.258925	0.209698
0.695000	0.067298	0.301587
0.695001	0.271506	0.186363
0.745000	0.012804	0.304794
0.745001	0.484156	0.340900
0.795000	0.052672	0.278316
0.795001	0.463540	0.313628
0.820000	0.220508	0.300948
0.845000	0.231896	0.283463
0.845001	0.787656	0.406432
0.895000	0.475239	0.250106
0.895001	0.399569	0.240542
0.945001	0.702041	0.388518
0.990000	0.164682	0.326865
0.995000	0.526255	0.341536
1.040000	0.041919	0.368664
1.045001	0.398912	0.282836
1.090000	0.005297	0.286065
1.090001	0.077689	0.190704
1.125000	0.246145	0.178868
1.140000	0.014295	0.177584
1.190000	0.353566	0.234076
1.190001	0.115965	0.147855
1.240000	0.091239	0.169583
1.240001	0.326583	0.179680
1.290000	0.165545	0.392015
1.290001	0.281750	0.358264
1.335001	0.071064	0.488564
1.340000	1.095982	0.765881
1.340001	0.386371	0.464382
1.390001	0.475643	1.007954
1.440001	0.868104	0.807905
1.490000	1.049664	1.284166
1.490001	2.724159	1.789655
1.540000	0.849663	1.569861
1.540001	3.549293	2.272775
1.585000	0.795970	1.630610
1.590000	2.835065	1.866171
1.635001	0.602241	1.555944
1.640001	1.471471	1.021243
1.685001	0.502508	1.265522
1.690000	0.373953	0.651457
50.000000	89
0.050000	0.022936	0.561541
0.050001	0.031213	0.724864
0.100000	0.357882	0.737404
0.150000	0.936023	0.691996
0.150001	1.115763	0.629931
0.200000	1.619345	0.623178
0.200000	1.558322	0.322783
0.250000	1.501097	0.222016
0.250001	1.643482	0.464926
0.300000	1.724958	0.516563
0.300000	1.256924	0.595189
0.349999	0.588606	0.963959
0.350001	1.646516	0.975999
0.394999	0.208608	1.218448
0.400000	1.797332	1.215361
0.444999	0.114196	1.226352
0.450000	1.958975	1.324652
0.465000	0.384632	1.103209
0.494999	0.712044	0.817127
0.500000	2.000138	1.201318
0.540000	0.189819	1.124033
0.544999	0.946161	0.847052
0.550000	1.988772	1.179398
0.595000	0.619340	1.109586
0.595000	2.118082	1.218181
0.644999	0.529177	1.452602
0.645001	2.341572	1.321790
0.694999	0.477083	1.595109
0.695001	2.699350	1.378026
0.700000	1.581549	0.958797
0.744999	2.190561	0.982003
0.745001	3.029900	1.246644
0.794999	1.594860	1.159044
0.795001	3.267992	1.715135
0.845000	0.956924	1.851011
0.845001	3.156781	1.987548
0.894999	0.390529	2.375652
0.895001	3.270369	2.124454
0.944999	0.199471	2.298350
0.945001	3.436771	2.162554
0.950000	1.279558	1.621643
0.990000	1.554156	1.607028
0.995000	3.709960	2.056540
1.040000	1.167195	1.897717
1.045003	3.843960	2.313755
1.090000	0.835321	2.474007
1.095001	3.942939	2.495864
1.140000	0.583158	2.771212
1.145000	3.930122	2.502433
1.190000	0.990672	2.143463
1.195001	4.150354	2.610694
1.240000	1.083367	2.819145
1.290000	1.218911	2.475342
1.290001	4.521266	2.475606
1.310000	5.364599	3.505649
1.340000	1.130469	3.393397
1.340001	5.825397	2.839854
1.389999	0.963419	3.630686
1.390000	5.324203	3.448738
1.440000	5.088397	2.836314
1.440000	1.112670	3.330696
1.489999	1.235793	3.231081
1.490000	5.018399	2.894421
1.535001	5.322856	3.145056
1.540000	1.468831	2.821886
1.560000	2.188879	2.281129
1.590000	5.710801	2.868609
1.590000	2.794816	2.123547
1.634999	2.510979	2.244172
1.640001	5.422804	2.111881
1.665000	5.867513	2.813378
1.684999	2.288187	2.609980
1.690001	6.549157	3.131460
1.730000	2.219387	2.836860
1.734999	2.132073	2.809832
1.740000	5.718767	3.296420
1.784999	0.226173	4.191503
1.790000	5.498297	2.929004
1.834999	2.688661	2.843418
1.835001	6.038150	3.244369
