20.000000	46
0.044999	0.263435	0.281318
0.050000	0.017024	1.014285
0.094999	0.678393	0.696797
0.100001	0.330595	1.125197
0.144999	1.892828	1.174590
0.150001	1.149787	1.004903
0.194999	2.394805	1.074844
0.200000	1.693320	0.816122
0.244999	2.813544	0.973344
0.250000	1.946136	0.725980
0.294999	3.053540	1.002603
0.300001	1.991309	0.741997
0.344999	2.903362	0.884949
0.350000	1.732080	1.126511
0.394999	2.764531	0.867139
0.400000	1.663619	1.337376
0.410000	3.564610	1.382280
0.444999	3.752632	1.537207
0.450000	1.656101	1.399919
0.494999	3.147021	1.016075
0.500000	1.742617	1.224431
0.544999	2.876927	0.855427
0.550001	1.970092	0.925325
0.594999	3.022067	0.857458
0.595000	2.042010	1.170974
0.640000	3.299107	1.104495
0.645001	2.241406	1.396393
0.650000	4.265580	1.537225
0.689999	4.656801	1.800693
0.695000	2.253521	1.610765
0.740000	4.229332	1.442424
0.745001	2.276470	1.411378
0.790000	3.609524	1.111144
0.795001	2.180475	1.171650
0.810000	3.104422	1.095286
0.840000	2.555676	1.198907
0.845001	1.184026	1.158530
0.890000	1.915068	1.126598
0.895001	0.369360	1.384817
0.940000	1.725136	0.981716
0.945001	0.232604	1.129392
0.990000	1.717176	1.069936
0.995001	0.547054	0.779833
1.045001	0.755360	0.563307
1.095001	0.973081	0.471679
1.145001	1.300718	0.569435
30.000000	56
0.049999	0.324511	1.096964
0.100000	0.861906	0.781689
0.100000	0.146569	1.244779
0.150000	2.138219	1.359924
0.150000	0.983058	1.644233
0.159999	1.739558	1.316834
0.160000	2.985476	1.338321
0.200000	4.079872	2.037257
0.200000	2.065275	1.815771
0.244999	4.541852	1.987277
0.250000	1.990507	2.296107
0.270000	5.003242	2.203878
0.294999	1.677554	2.740871
0.295000	5.393113	2.694208
0.344999	5.098905	2.721470
0.344999	1.229361	2.716114
0.394999	4.622367	2.598027
0.395000	0.923191	2.877173
0.444999	0.846793	2.373519
0.445000	4.146995	2.365452
0.494999	3.761457	2.399988
0.495000	0.758471	2.510694
0.544999	3.490324	1.912692
0.545000	0.800278	2.549414
0.574999	3.896769	2.195124
0.594999	0.924969	2.399193
0.595000	4.459051	2.647251
0.644999	3.495128	1.852817
0.645000	1.039598	1.862489
0.694999	2.660906	1.310939
0.694999	1.010002	1.452611
0.719999	1.709127	0.674397
0.745000	2.311460	0.606088
0.745000	2.265270	0.716645
0.794999	2.171552	0.454745
0.840000	2.251149	0.461845
0.845000	1.176524	0.901195
0.890000	2.125235	0.634637
0.940000	1.936569	0.556283
0.940000	0.921720	0.948085
0.944999	2.245619	0.771142
0.989999	1.798539	0.509260
1.040000	1.494764	0.477436
1.040000	1.275267	10.264666
1.089999	1.348831	10.226656
1.089999	0.934626	10.398936
1.139999	26.390902	25.353032
1.140000	1.381829	10.228260
1.189999	0.996590	10.374098
1.240000	0.306229	10.681193
1.240000	0.519479	0.697124
1.290000	0.934448	0.464088
1.290000	1.735724	1.184892
1.340000	1.017160	0.581687
1.390000	0.664891	0.639426
1.440000	0.124499	1.108289
40.000000	82
0.049999	0.024017	0.260039
0.050000	0.006364	0.627529
0.099999	0.413170	0.541636
0.100000	0.250092	0.966045
0.145000	1.168244	0.863662
0.145000	1.156936	0.860429
0.150001	2.198676	1.008645
0.195000	1.974746	0.652125
0.200000	2.302498	0.578359
0.245000	2.513751	0.346732
0.250000	2.860327	0.527847
0.295000	2.772268	0.580962
0.300001	2.197580	0.549226
0.345000	2.764375	0.846457
0.350000	1.589260	0.962920
0.394999	2.696703	0.984627
0.400000	1.157224	1.193330
0.445000	2.589132	0.937130
0.445001	1.298402	1.569167
0.450000	2.312365	0.992121
0.465000	3.271050	1.153834
0.494999	3.791008	1.777351
0.500000	1.711292	1.292214
0.544999	3.367828	1.319630
0.550001	1.386902	1.625837
0.595000	1.487210	1.223280
0.595000	3.132877	1.162156
0.645000	3.116807	1.294457
0.645001	1.620168	1.272323
0.695000	3.189848	1.059888
0.695001	1.647104	1.342458
0.745000	3.264041	1.249230
0.745001	1.817938	1.393207
0.789999	3.552012	1.378326
0.795000	1.897659	1.723091
0.825000	3.969740	1.623326
0.839999	4.881934	2.053353
0.845001	1.965438	1.876144
0.875001	2.604626	1.549547
0.889999	4.567641	1.669530
0.895000	3.153595	1.009774
0.939999	4.276018	1.383780
0.945001	2.588816	1.385894
0.989999	4.062682	1.348498
0.995001	2.164502	1.582668
1.039999	4.034679	1.301166
1.045001	1.998079	1.743446
1.089999	3.970643	1.204066
1.095001	3.388535	1.002779
1.135000	3.991881	1.048266
1.139999	5.067046	1.630375
1.145001	2.985736	1.252101
1.190000	4.283674	0.961456
1.195002	2.652976	1.882016
1.215000	4.436511	1.025193
1.240000	4.976780	1.185123
1.289999	4.671191	1.137007
1.290000	3.630252	0.881609
1.339999	4.386681	0.941038
1.340000	3.131526	1.033160
1.385000	4.174082	1.004005
1.390001	2.746145	1.071768
1.434999	4.118627	1.032406
1.440001	2.568403	1.117472
1.465001	3.059096	0.882103
1.485000	4.027968	0.879115
1.490000	2.897590	1.101788
1.510000	4.556598	2.062458
1.534999	4.078960	1.773884
1.540000	1.584774	1.729046
1.580001	1.211713	1.871526
1.585000	2.402190	1.393860
1.590000	0.989721	0.673671
1.635000	1.187003	0.667371
1.640001	0.588804	0.798746
1.685000	0.636301	0.395041
1.690000	0.483454	0.839062
1.735000	0.676412	1.055464
1.785000	1.329797	0.981534
1.835000	2.198440	1.130664
1.885000	2.649739	1.208402
1.935000	2.618022	0.782428
50.000000	94
0.044999	0.039356	0.128314
0.050000	0.219127	0.395241
0.094999	0.166743	0.379179
0.100000	0.068475	0.640157
0.144999	0.972190	0.646959
0.150000	0.370483	0.649394
0.195000	1.300422	0.686268
0.200000	0.877321	0.350627
0.244999	1.326429	0.475971
0.250000	0.905607	0.274627
0.294999	1.177723	0.238187
0.294999	1.116945	0.251940
0.344999	0.899234	0.409983
0.345000	0.908009	0.452303
0.390000	0.672481	0.787852
0.394999	1.811389	0.788940
0.419999	1.397318	0.631705
0.444999	1.936333	0.931841
0.444999	1.035339	0.740450
0.494999	0.379244	1.217743
0.520000	1.671421	0.927958
0.540000	0.081679	1.265781
0.544999	2.181372	1.368513
0.545000	1.186856	0.697539
0.594999	0.758282	0.821849
0.595000	1.627931	0.663798
0.640000	1.496475	0.699535
0.644999	0.467179	1.161433
0.690000	1.479584	0.959179
0.694999	0.392715	1.505633
0.700000	2.605289	1.630412
0.740000	2.902397	1.859162
0.744999	0.342871	2.025247
0.790000	2.697256	1.346621
0.794999	0.507721	2.035312
0.809999	3.057142	1.838573
0.839999	3.299813	1.932616
0.844999	0.570499	1.794853
0.890000	2.848615	1.488921
0.890000	0.742555	1.548120
0.920000	1.258301	0.852857
0.939999	1.900013	0.826347
0.990000	2.072851	0.919707
0.990000	1.402295	0.441018
1.040000	0.819205	1.010483
1.054999	1.304192	0.655206
1.090000	1.717353	0.583844
1.090002	2.235117	0.883722
1.140000	2.142506	0.880218
1.140000	0.996396	1.061598
1.190000	2.292332	1.176333
1.190000	0.586685	1.372628
1.240000	2.240123	1.379423
1.240000	0.372585	1.615926
1.285000	2.326592	1.446558
1.290000	0.332709	1.969303
1.330000	2.524004	1.647442
1.334999	3.625721	2.526090
1.340000	0.244243	2.053386
1.384999	3.159576	2.067933
1.390000	0.035505	2.295021
1.414999	0.584959	1.632746
1.434999	2.773318	1.868763
1.440000	1.090098	1.123216
1.485000	2.560921	1.888251
1.490000	0.398117	1.417152
1.534999	0.237478	1.484461
1.564999	0.279700	1.670403
1.584999	1.499005	1.263349
1.585000	2.577856	1.456701
1.634999	2.459948	1.171775
1.634999	3.287543	0.945088
1.660000	3.117762	1.051530
1.684999	3.655737	0.883281
1.685000	4.186055	1.068100
1.694999	5.227402	1.541533
1.715000	3.382143	1.803834
1.734999	5.884447	1.982627
1.735000	3.673006	2.047106
1.784999	6.390575	2.882797
1.834999	2.907794	3.303624
1.834999	6.800610	3.009089
1.880000	1.821855	4.671995
1.884999	8.158938	4.470542
1.895000	8.410145	5.173100
1.930000	1.073146	5.665433
1.935000	7.904486	5.061308
1.980000	0.637162	5.169617
1.984999	7.486017	6.114963
2.030000	0.574802	4.121826
2.080000	0.761920	2.759467
2.130000	0.915519	2.949196
2.180000	1.115675	0.348899
2.230000	1.286478	0.383816
