20.000000	97
0.044999	0.004331	0.005771
0.050000	0.005093	0.093152
0.050000	0.013811	0.179343
0.050001	0.001254	0.221113
0.075000	0.191152	0.471211
0.090000	0.373042	0.431592
0.095000	0.346037	0.585556
0.099999	1.274219	0.810024
0.100001	0.306548	0.976761
0.100002	1.371015	0.770876
0.125000	0.894212	0.852516
0.145000	2.124121	1.089121
0.149999	2.131244	0.812322
0.150000	1.669249	0.651388
0.150001	0.888508	1.192175
0.194999	2.436403	0.831986
0.200000	2.240847	0.683244
0.200000	1.677311	0.849549
0.200002	1.757346	0.924382
0.240000	2.477067	0.611450
0.245000	3.149856	1.041386
0.245000	3.160381	0.883067
0.250000	2.145019	0.654526
0.250001	2.181876	0.662455
0.295000	2.655532	0.362852
0.295001	2.541925	0.311160
0.324999	2.800976	0.420159
0.325000	2.782271	0.439518
0.330001	2.936861	0.578717
0.344999	3.555192	1.056595
0.345000	2.101408	1.028749
0.345001	3.791744	1.282794
0.395000	1.828829	1.269493
0.395000	2.480053	0.727714
0.395001	2.981941	0.625034
0.420000	2.832953	0.678196
0.420001	3.196276	0.725421
0.445000	3.178238	0.665120
0.445000	1.669564	1.401355
0.445001	3.564138	1.173915
0.485001	2.911387	0.905467
0.495000	2.500714	0.819272
0.495000	1.879545	1.116059
0.495000	1.628245	1.093272
0.495001	3.444034	1.249647
0.520000	2.700730	0.674426
0.525000	2.131582	0.938878
0.545000	2.765718	0.557612
0.545001	2.855274	0.540801
0.549999	3.567999	1.056501
0.594999	3.355163	0.957372
0.595000	2.190975	0.871166
0.595001	2.326734	0.752214
0.644999	1.791917	0.884631
0.645000	3.017465	0.838927
0.645000	2.204344	0.563456
0.645001	2.158470	0.620388
0.659999	2.615482	0.380234
0.690000	3.146423	0.774448
0.695000	2.658508	0.357790
0.695001	2.405165	0.408473
0.695002	2.330562	0.451754
0.740000	2.984698	0.546911
0.745000	2.447555	0.261965
0.745000	2.266028	0.376198
0.745001	2.639001	0.272845
0.790000	2.642858	0.396324
0.795000	2.386177	0.634089
0.795001	2.934744	0.800587
0.805000	1.861069	1.003516
0.805001	3.686756	1.705092
0.840000	1.648762	1.118024
0.840000	1.070912	1.343906
0.845001	2.760565	1.383918
0.850000	1.370172	0.871678
0.890000	0.769053	1.035981
0.890001	1.958567	1.194135
0.940000	0.046911	1.264205
0.940000	0.478328	0.837109
0.940001	1.405515	0.961131
0.970000	1.323792	0.869038
0.990000	0.068111	0.979090
0.990000	0.547636	0.616147
0.990001	1.340919	0.809025
1.015000	0.674788	0.521445
1.040000	0.800686	0.472381
1.040000	0.370395	0.693648
1.040000	1.508434	0.851925
1.089999	0.270525	0.857534
1.090000	0.972102	0.616335
1.090001	1.717200	0.954415
1.134999	0.210174	1.000126
1.139999	1.012047	0.645318
1.140000	1.791065	1.039606
1.190000	0.146979	1.171183
1.190000	0.972478	0.712815
1.190001	1.796689	1.064722
30.000000	98
0.050000	0.006373	0.737834
0.050000	0.009951	0.657291
0.060000	0.323829	0.459908
0.095000	1.244278	0.986171
0.099999	0.335579	0.870504
0.100000	0.219362	0.978185
0.144999	1.008030	0.626552
0.145000	2.110140	1.334314
0.149999	0.904320	0.850724
0.150000	1.006379	0.784567
0.195000	2.377199	0.966576
0.200000	1.382525	0.641605
0.200000	1.672662	0.825826
0.235000	2.382554	0.791985
0.245000	1.544284	0.893812
0.245000	3.268601	1.432100
0.250000	1.504129	0.930742
0.295000	2.580225	0.821253
0.300000	1.715257	0.788608
0.300000	1.833550	0.422074
0.320000	2.390416	0.524837
0.345000	1.951806	0.444457
0.350000	1.579068	0.686764
0.359999	2.380906	0.572739
0.395000	2.726319	0.880742
0.400000	1.485488	0.693786
0.445000	1.911935	0.471052
0.445000	2.081352	0.498964
0.450000	1.455039	0.346907
0.495000	1.742025	0.281253
0.495000	1.649333	0.314966
0.500000	1.452412	0.587009
0.520000	2.136714	0.548636
0.545000	1.356210	1.007779
0.550000	2.663733	0.901606
0.570000	2.376471	0.611608
0.594999	2.980650	0.975556
0.595000	1.550296	1.005649
0.600000	2.250572	0.607750
0.610000	2.816160	0.778915
0.645000	1.633733	1.038109
0.655000	2.940886	0.837037
0.675000	2.289653	0.703005
0.690000	3.227959	1.020805
0.694999	1.717559	1.092723
0.695000	3.080882	0.733188
0.695000	2.560927	0.528956
0.739999	2.416997	0.578257
0.740000	2.991634	0.463536
0.745000	2.346485	0.490812
0.745000	3.265781	0.669201
0.770000	2.468052	0.474185
0.790000	2.690468	0.331187
0.795000	2.984840	0.399147
0.795000	2.795587	0.278334
0.800000	2.938717	0.361972
0.840000	2.288195	0.601884
0.845000	2.614648	0.362929
0.845000	2.521942	0.520144
0.860000	3.208216	0.752841
0.890000	2.184466	0.813751
0.895000	3.417211	0.756109
0.925000	2.408756	0.807076
0.940000	3.212170	0.572767
0.940000	3.337590	0.504047
0.945000	3.241577	0.450587
0.990000	2.756007	0.418021
0.995000	2.797108	0.495833
1.020000	2.956680	0.425773
1.040000	2.282310	0.764744
1.044999	3.629730	0.974390
1.045000	3.138414	0.712253
1.090000	2.154385	0.827280
1.095000	3.066887	0.756006
1.139999	2.107364	0.596429
1.140000	2.486287	0.483724
1.140000	2.058464	0.499546
1.145000	2.058077	0.340580
1.184999	1.817932	0.452977
1.189999	1.571556	0.381701
1.190000	1.593529	0.353686
1.190000	1.071041	0.558088
1.195000	1.869364	0.727057
1.200000	1.226321	0.619247
1.240000	0.716099	0.624347
1.240000	1.078129	0.620619
1.285000	0.023801	0.823073
1.290000	0.605732	0.362245
1.290000	0.634097	0.377372
1.339999	0.586520	0.301819
1.340000	0.145110	0.470260
1.380000	0.427559	0.263751
1.390000	0.501838	0.333406
1.390000	0.833379	0.403283
1.440000	0.742959	0.361262
1.440000	1.100968	0.345411
1.490000	1.217725	0.311552
1.540000	1.256472	0.310579
40.000000	138
0.044999	0.025646	0.018930
0.045000	0.000695	0.078767
0.050000	0.009528	0.168296
0.050000	0.011765	0.194421
0.095000	0.155594	0.344556
0.100000	0.355852	0.506850
0.100000	0.307391	0.560971
0.120000	0.919237	0.682680
0.144999	1.327031	0.720207
0.145000	0.908493	0.704304
0.150000	2.083277	0.802698
0.165000	1.791741	0.714664
0.195000	1.437080	1.134905
0.200000	2.320699	0.714451
0.205000	3.047852	1.095927
0.245000	3.315892	1.178407
0.245000	1.667605	1.175699
0.250000	2.321036	0.716500
0.260000	3.133987	0.771184
0.294999	2.484858	0.576824
0.294999	2.990014	0.403121
0.295000	2.602953	0.481759
0.300000	3.266598	0.639492
0.305000	3.149017	0.600661
0.340000	2.146685	0.745740
0.344999	3.026540	0.682906
0.345000	2.250242	0.531194
0.350000	2.437968	0.354368
0.390000	2.025373	0.552525
0.394999	2.681564	0.580691
0.395000	2.198418	0.503642
0.395000	1.640617	0.758857
0.400000	2.855480	0.974838
0.445000	1.521437	0.693113
0.449999	2.290489	0.701930
0.494999	1.565093	0.614033
0.495000	1.713546	0.356272
0.495000	1.416313	0.731092
0.500000	1.722698	0.468308
0.515000	2.243962	0.697119
0.545000	2.662680	1.096504
0.545000	1.518249	0.635924
0.550000	1.256135	0.819278
0.594999	1.516591	0.631434
0.595000	2.210716	0.649513
0.600000	1.415408	0.895193
0.620000	2.236905	0.567968
0.625000	2.370265	0.606858
0.640000	3.013374	1.079393
0.645000	1.889861	0.672585
0.645000	1.589055	0.893178
0.690000	2.653394	0.742503
0.690000	2.543500	0.652445
0.694999	1.704655	0.603830
0.695000	1.911573	0.680791
0.730000	2.225966	0.480343
0.740000	2.210571	0.473320
0.745000	3.176551	1.018872
0.745000	2.130630	0.458108
0.775000	2.453658	0.387225
0.790000	2.092497	0.801482
0.795000	2.340263	0.538052
0.830000	2.718893	0.534259
0.840000	3.539361	1.246704
0.840000	2.146317	0.634689
0.845000	2.394077	0.517064
0.890000	2.172259	0.574304
0.895000	2.367439	0.161134
0.939999	2.119027	0.345871
0.940000	2.310747	0.245809
0.945000	2.311198	0.251247
0.989999	2.828871	0.637909
0.990000	2.123853	0.328960
0.990000	2.122590	0.674671
0.995000	2.192186	0.636789
1.035000	2.402313	0.653390
1.039999	3.576409	1.233677
1.040000	2.432795	0.670115
1.045000	3.393344	0.847312
1.090000	2.032960	1.147169
1.090000	2.927904	0.536305
1.095000	2.843759	0.574283
1.100000	3.462966	1.065796
1.139999	2.515987	0.585408
1.140000	2.121654	0.884224
1.140003	2.277632	0.716930
1.145000	3.334537	0.960259
1.150000	2.969973	0.615258
1.190000	2.240367	0.582052
1.190000	2.362777	0.503286
1.195001	2.774127	0.392890
1.240000	2.283959	0.409155
1.240000	2.490720	0.295718
1.250000	3.110469	0.641268
1.280000	2.457752	0.490822
1.285000	2.499729	0.497397
1.290000	2.411919	0.557328
1.295000	3.449842	0.879731
1.334999	2.945996	0.485259
1.335000	2.470076	0.650072
1.340000	2.767550	0.508078
1.340000	3.591178	0.941358
1.384999	2.450654	0.606831
1.385000	2.338345	0.770722
1.390000	3.282871	0.805854
1.430000	2.130233	0.695027
1.434999	3.266899	0.794515
1.434999	2.340637	0.698851
1.435000	2.426105	0.659831
1.440000	3.005832	0.441208
1.469999	3.171621	1.035698
1.485000	3.384543	1.191993
1.490000	3.393588	1.262507
1.535000	0.920487	1.833462
1.535000	2.224343	1.115548
1.540000	2.022287	1.020725
1.560000	0.911652	0.707374
1.584999	1.088796	0.631762
1.585000	1.016747	0.515570
1.590003	0.967376	0.328821
1.635000	0.661532	0.389766
1.640000	0.354242	0.427440
1.659999	0.568653	0.296800
1.685000	0.024211	0.550400
1.685000	0.533300	0.322074
1.690000	0.437133	0.337261
1.735000	0.783455	0.402614
1.740000	1.041317	0.483183
1.785000	0.458203	0.638982
1.785000	0.986779	0.357274
1.790000	1.648098	0.710065
1.800000	1.013439	0.569538
1.835000	1.050850	0.563349
1.840000	1.858532	1.000896
1.879999	1.733766	1.076604
1.884999	0.400281	0.933033
1.934999	0.290769	1.066786
1.960000	0.286970	0.837869
50.000000	180
0.040000	0.112058	0.088233
0.049997	0.013529	0.143899
0.050000	0.005218	0.157793
0.050000	0.159307	0.454595
0.064997	0.241123	0.434160
0.070000	0.188562	0.473565
0.099997	1.247959	0.886664
0.100000	0.259623	0.666226
0.100000	0.613973	0.571199
0.135000	1.378677	0.692941
0.145000	0.810167	0.765147
0.149996	1.405090	0.530766
0.150000	2.217108	0.895602
0.150000	1.527444	0.455158
0.194999	1.593324	0.322145
0.199997	1.438614	0.409243
0.200000	2.002514	0.493911
0.245000	1.642453	0.224629
0.249997	1.352217	0.499446
0.249999	1.555250	0.399633
0.250000	1.449321	0.489509
0.260000	2.317327	0.917133
0.294999	1.212631	0.633158
0.295000	2.204508	0.781045
0.299997	1.073104	1.053945
0.300000	1.303657	0.780007
0.304997	2.246001	0.845659
0.305000	2.618527	1.262585
0.340000	0.902911	1.125236
0.344999	1.958344	0.640600
0.345000	1.229444	0.911596
0.349997	2.114746	1.003820
0.350000	2.481723	1.255448
0.395000	0.971360	0.843382
0.395000	0.589242	1.261391
0.399997	1.209940	0.695310
0.400000	1.611432	0.610933
0.400000	2.025156	0.934009
0.410000	1.086049	0.461907
0.429997	1.191338	0.440996
0.445000	1.153681	0.454680
0.445000	1.388026	0.260332
0.449997	1.685240	0.377538
0.450000	1.524447	0.417954
0.480000	1.726988	0.589039
0.494997	1.223961	0.674885
0.495000	0.667204	1.058355
0.500000	2.467234	1.189757
0.504997	1.790537	0.709685
0.525000	0.892428	0.898434
0.544997	1.996693	0.740531
0.545000	1.427200	0.421244
0.570000	0.912046	0.615726
0.594997	1.443318	0.348010
0.594999	1.189043	0.252515
