20.000000	58
0.050000	0.004903	0.732517
0.050000	0.006603	0.811143
0.100000	0.384104	0.970693
0.130000	1.215667	0.918485
0.150000	1.020241	0.981045
0.150000	2.208591	1.016250
0.170000	1.862443	0.537975
0.195001	2.497701	0.887073
0.200000	1.692499	0.463621
0.245001	2.100412	0.394951
0.250000	1.381828	0.768578
0.275000	1.980900	0.358322
0.295001	1.944177	0.346152
0.300000	2.387358	0.547763
0.344999	2.364910	0.354249
0.345001	1.884968	0.725497
0.394999	2.805279	0.498952
0.395001	2.425737	0.594554
0.444999	3.122880	0.649311
0.445001	2.622953	0.964505
0.494999	3.500857	0.758854
0.495001	3.255287	0.946193
0.544999	4.645079	1.288330
0.545001	3.627926	1.391263
0.555001	4.935649	1.417820
0.594999	5.873892	1.380909
0.595001	5.543537	1.896540
0.645000	7.424276	1.582777
0.670000	7.096182	1.853301
0.694999	8.932500	1.847835
0.695001	8.141610	1.419061
0.744999	10.579145	2.002674
0.745000	9.067204	1.473677
0.785001	9.888350	1.291765
0.790000	9.860106	1.504055
0.794999	11.994068	1.766651
0.840001	11.060747	1.213167
0.844999	12.396097	1.248458
0.890001	11.620911	1.012040
0.894999	12.806188	0.908061
0.940000	12.850805	0.602670
0.944999	13.095324	0.644204
0.970000	13.298364	0.702055
0.990000	13.295528	1.142645
1.040000	12.792989	1.916769
1.040001	14.787695	1.394071
1.090000	15.557573	1.509868
1.140000	15.927136	1.372194
1.190000	15.947887	0.514533
1.240000	15.749413	0.383170
1.290001	15.839412	0.413879
1.340004	16.144064	0.333927
1.390000	16.529980	0.456058
1.435001	16.495550	0.305255
1.485001	16.475003	0.141193
1.535001	16.437117	0.075205
1.585001	16.494093	0.039265
1.635001	16.544633	0.079503
30.000000	71
0.050000	0.254867	0.305490
0.050000	0.001964	0.642952
0.094999	0.314427	1.555172
0.100000	0.715806	1.369750
0.144999	0.993117	1.882444
0.150000	3.686355	2.359584
0.195000	1.929511	1.979954
0.200000	4.400652	1.869831
0.204999	5.223075	1.889260
0.230000	2.992899	1.953240
0.244999	4.098307	1.603042
0.250000	6.359559	2.014819
0.295000	4.492334	1.877058
0.300000	6.849945	1.927188
0.344999	4.659348	2.304541
0.350000	7.600993	2.292321
0.394999	4.965478	2.692616
0.400000	8.583776	2.757512
0.445000	5.424870	2.412534
0.449999	9.393468	2.909044
0.480000	6.232212	2.995878
0.494999	7.320947	2.217272
0.495000	10.081840	2.343889
0.544999	10.887483	2.967552
0.545000	7.602503	2.374863
0.564999	8.278866	1.957602
0.594999	11.336305	2.260448
0.595000	9.159305	1.727382
0.644999	9.814142	1.648570
0.644999	11.669140	1.373090
0.694999	10.958436	1.801694
0.740000	12.354496	1.433475
0.744999	12.366544	1.820483
0.790000	14.197800	2.065588
0.795000	12.597573	1.630992
0.840000	16.109375	2.934847
0.844999	12.734812	2.700114
0.860000	13.565059	3.458275
0.890000	18.064651	3.999567
0.894999	13.783794	4.507281
0.940000	20.150265	4.883217
0.944999	13.500983	6.093491
0.964999	21.645577	5.998196
0.990000	23.044959	7.065586
