20.000000	57
0.024999	0.003111	0.528565
0.049999	0.257525	0.359674
0.050000	0.018108	0.643281
0.099999	0.882424	0.614579
0.100001	0.327640	0.742719
0.149999	1.099152	0.845992
0.150001	0.909904	0.832005
0.169999	1.730142	0.784911
0.200000	2.530723	1.117470
0.200000	1.601242	0.584350
0.245000	1.761920	0.511410
0.250000	1.682160	0.699573
0.295000	0.790118	0.946299
0.295001	1.786321	0.770160
0.345000	0.500272	1.326710
0.345001	2.167943	1.282854
0.390000	2.655493	1.404575
0.395000	0.508210	2.277364
0.395001	3.602064	1.679229
0.444999	1.823617	1.785193
0.445000	4.036737	1.808224
0.465001	4.623047	1.527092
0.475000	2.718931	1.838876
0.495000	4.054747	1.213934
0.495001	5.528837	1.508199
0.544999	4.827237	1.469955
0.545000	6.045839	1.352312
0.570000	6.942870	1.266635
0.595000	6.039583	1.751420
0.595001	8.155591	1.467739
0.645000	7.186801	1.961845
0.645000	9.252913	2.161079
0.695000	8.774981	1.909741
0.695001	10.926817	2.395366
0.710000	12.284872	2.347454
0.745000	10.116087	3.180150
0.745000	14.167957	2.930485
0.795000	11.077733	3.510215
0.795001	16.130922	4.280274
0.845000	11.401178	4.324206
0.845001	17.107565	4.649135
0.889999	11.544646	5.239692
0.895001	18.435304	5.562506
0.939999	11.901583	4.644109
0.940000	19.614158	6.415885
0.964999	11.889570	5.450483
0.989999	11.843684	6.128611
0.990000	20.584422	7.286460
1.040000	11.531813	6.893946
1.040001	21.249839	7.864940
1.089999	11.461912	8.241624
1.090000	21.950024	8.419953
1.139999	11.684728	8.432822
1.140000	22.346189	7.541697
1.189999	11.909581	9.230167
1.190001	22.456931	7.539744
1.240000	22.154064	5.918279
30.000000	275
0.050000	0.006372	0.256053
0.050001	0.003909	0.491421
0.060001	0.300957	0.703734
0.100000	0.337888	0.797242
0.150000	0.879233	0.738061
0.150000	1.702893	0.915018
0.175001	1.535582	0.673025
0.200000	1.754187	0.483901
0.200001	2.399918	0.883147
0.245001	1.363384	0.527163
0.250001	1.893115	0.641822
0.295001	1.096634	0.665194
0.300000	1.120784	0.445531
0.345001	1.066092	0.599356
0.350000	0.597340	1.004794
0.395001	1.628788	1.105579
0.400000	0.101147	1.728247
0.445001	2.598479	1.872094
0.450000	0.072748	1.828958
0.495000	2.959911	1.966889
0.500001	0.771751	1.846743
0.525001	1.636338	1.711353
0.545001	2.777835	1.212211
0.545001	3.432071	1.410361
0.595000	4.482483	1.632195
0.595001	3.127613	1.746350
0.645001	3.338980	1.616583
0.685001	5.337686	1.480622
0.695000	6.491928	2.312929
0.695001	3.958011	1.836080
0.745000	4.783573	1.588738
0.745001	6.900173	1.643662
0.795001	5.435115	1.533940
0.795001	7.300108	1.388842
0.845000	6.125303	1.300596
0.845001	7.761171	1.211867
0.865001	7.202893	0.876572
0.890001	8.088739	0.905101
0.895001	8.067053	0.445880
0.940000	8.466400	0.572184
0.945000	8.246983	0.417225
0.990000	8.467299	0.354297
0.995001	8.333491	0.679367
1.000000	9.186599	0.788042
1.040000	8.371775	0.654083
