20.000000	50
0.050000	0.012997	0.361530
0.050001	0.134503	0.469205
0.095001	0.278321	0.560577
0.100000	0.567029	0.501463
0.145001	0.945728	0.668368
0.150001	1.253701	0.644370
0.190001	1.129592	0.838193
0.195001	2.087966	0.811285
0.200000	1.765703	0.868139
0.205001	2.719119	1.012214
0.245000	1.361536	1.232652
0.245002	3.402469	1.577333
0.295001	2.778402	1.374970
0.295001	0.721543	2.046687
0.310000	3.203268	1.476523
0.345000	0.649647	2.137192
0.345001	3.393959	1.839248
0.395001	3.583037	1.702629
0.395001	1.109825	2.347816
0.445000	3.972373	1.612212
0.445001	2.053150	2.311660
0.495001	4.637372	2.074607
0.545000	5.642523	1.823531
0.545001	4.416829	2.136625
0.595001	6.917940	1.670515
0.595001	6.015677	2.040194
0.620000	7.799313	1.915954
0.645000	8.356548	1.808170
0.645001	9.593899	1.908451
0.690000	9.558531	1.920552
0.690001	11.319872	1.778033
0.695001	10.741777	2.202408
0.740000	13.176245	2.531834
0.745001	11.890403	2.414459
0.780000	15.078338	2.728251
0.790001	16.451783	3.164500
0.795001	12.733223	3.133890
0.840000	12.913255	2.975481
0.840000	17.011967	2.893087
0.845001	17.266429	3.485493
0.890000	13.274074	3.497443
0.890001	17.885013	2.735812
0.940000	13.142648	3.786771
0.940000	17.972339	3.331606
0.985000	17.953853	3.298191
0.990000	13.369199	3.244292
0.990001	17.939378	3.253716
0.995000	13.360775	3.509418
1.040000	13.287214	3.233601
1.040000	17.778311	3.638247
30.000000	125
0.050000	0.058996	0.218314
0.050000	0.002366	0.457126
0.099999	0.399589	0.664759
0.100000	0.213177	0.765846
0.130001	0.796357	0.616314
0.150000	1.720028	0.955587
0.150000	1.110649	0.511316
0.199999	1.242631	0.401996
0.200000	1.609152	0.325772
0.250000	1.275455	0.549126
0.270000	1.866891	0.488654
0.280000	1.861828	0.430858
0.300000	2.263389	0.551108
0.300000	2.552115	0.586671
0.350000	1.600335	0.694001
0.350000	2.193815	0.586063
0.374999	2.590095	0.610478
0.380000	1.979906	1.052999
0.394999	3.365388	0.841422
0.395001	2.943059	0.681490
0.445000	3.780866	0.851067
0.445001	3.304225	0.634194
0.465001	3.793706	0.593390
0.494999	3.804002	0.544808
0.495001	4.554215	0.857299
0.544999	4.549241	1.020403
0.545001	4.446091	1.022348
0.560000	5.855899	1.194219
0.594999	6.393990	1.483842
0.595001	4.679942	1.753420
0.644999	7.078699	1.592755
0.645000	4.871827	2.077431
0.694999	7.557531	1.874330
0.695001	5.528362	2.241583
0.704999	8.192399	1.938930
0.720001	6.643582	1.966205
0.744999	9.382613	2.162182
0.745000	7.728815	1.293592
0.794999	9.811848	1.746275
0.795001	8.217825	1.857707
0.845000	8.883995	1.525315
0.845000	10.389665	1.538826
0.894999	11.595548	1.976944
0.895001	10.188148	2.040028
0.944999	12.712454	1.615338
0.945001	11.518749	1.670626
0.970003	13.808295	1.916051
0.985001	12.835546	1.556878
0.990000	14.081687	1.514902
0.994999	15.015842	1.431664
1.040000	15.189543	1.655815
1.090000	15.945372	1.389250
1.120000	17.094125	1.517017
1.139999	17.524668	1.335611
1.140000	17.635831	1.116808
1.180001	19.109791	1.577500
1.190000	17.310637	1.343243
1.190001	19.064744	1.299470
1.239999	17.393994	1.551826
1.240001	19.397129	1.398419
1.290000	17.612458	1.479405
1.290001	19.549545	1.454616
1.310001	19.617779	1.493361
1.340000	17.484743	1.691740
1.340001	19.623331	1.252578
1.390000	17.436898	1.720122
1.390001	19.425491	1.402013
1.440000	19.500693	1.483389
1.440000	17.424813	1.712226
1.490000	19.584645	1.576013
1.490000	17.354442	1.792712
1.515001	19.571520	1.825278
1.540000	17.297359	1.604186
1.540001	19.540550	1.832568
1.590000	17.270845	1.599920
1.634999	17.263815	1.299311
1.635001	19.487381	1.809312
1.674999	17.272964	1.277653
1.684999	17.278785	1.558587
1.685000	19.484307	1.794434
1.734999	17.296971	1.544223
1.735001	19.477048	1.791977
1.784999	17.297733	1.543918
1.785000	19.480924	2.027281
1.834999	17.256123	1.283854
1.885000	17.238313	0.916315
1.934999	17.212849	0.926377
1.974999	17.196838	0.034094
1.984999	17.190628	0.027040
2.035000	17.172788	0.021361
2.084999	17.167406	0.016649
2.135000	17.163733	0.015597
2.185000	17.161600	0.014286
2.234999	17.153931	0.015810
2.279999	17.140490	0.016476
2.285000	17.138006	0.020996
2.330000	17.126929	0.022741
2.380000	17.123990	0.036576
2.430000	17.099155	0.036822
2.480000	17.091050	0.033083
2.524999	17.047520	0.047185
2.530000	17.049098	0.044318
2.580000	17.069280	0.035609
2.630000	17.097259	0.034654
2.655000	17.118304	0.035798
2.680000	17.124661	0.025754
2.730000	17.118122	0.011936
2.740000	17.121877	0.018605
2.780000	17.133066	0.029958
2.829999	17.106316	0.022132
2.874999	17.080951	0.030247
2.924999	17.093901	0.019878
2.974999	17.074000	0.019065
3.025000	17.096408	0.013889
3.074999	17.083284	0.011249
3.124999	17.084187	0.012676
3.134999	17.087004	0.012637
3.174999	17.102609	0.017491
3.224999	17.103237	0.016557
3.275000	17.105470	0.018511
3.324999	17.132117	0.021165
3.375000	17.116618	0.015052
3.425000	17.134922	0.016276
3.474999	17.137095	0.012334
3.520000	17.124460	0.010498
40.000000	297
0.025000	0.015903	0.284360
0.050000	0.040796	0.602116
0.050001	0.324715	0.486863
0.095000	0.398783	0.604176
0.099999	1.154703	0.686266
0.100000	0.885818	0.713315
0.135000	1.448219	0.583848
0.150000	1.562422	0.411435
0.150000	2.172085	0.767046
0.199999	1.515158	0.281702
0.200001	1.630828	0.319136
0.230000	1.666625	0.303428
0.250000	1.554470	0.281026
0.250001	2.172084	0.599990
0.300000	1.598577	0.735067
