20.000000	92
0.020000	0.000267	0.167656
0.049999	0.137319	0.118684
0.050000	0.007154	0.468585
0.069999	0.256187	0.430556
0.100000	0.217865	0.807507
0.120000	0.994297	0.806270
0.124999	0.907612	0.709382
0.144999	1.885633	0.985105
0.149999	1.982388	0.774964
0.150000	0.914311	1.093769
0.170000	2.466417	0.791185
0.185000	1.686555	0.682602
0.199999	2.359405	0.685044
0.200000	2.071978	0.676775
0.205000	2.636464	0.554118
0.220000	2.681678	0.404227
0.225000	3.364656	0.896392
0.249999	2.525843	0.546964
0.249999	2.791295	0.528587
0.250000	2.305876	0.705636
0.270000	3.493335	1.094053
0.299999	2.058691	0.806846
0.300000	2.639556	0.524800
0.300000	2.246095	0.679739
0.320000	2.995421	0.759989
0.330001	2.199839	0.650531
0.349999	2.926607	0.692701
0.350000	1.871934	1.185405
0.350003	3.236654	1.123517
0.355000	3.747899	1.393696
0.370000	2.625138	1.273172
0.400000	5.212720	2.559192
0.400000	1.800361	1.758928
0.420000	3.009985	1.139790
0.449999	2.041847	1.535848
0.450000	2.761662	0.662650
0.464999	3.586555	1.721146
0.494999	2.487577	2.094294
0.499999	3.374166	1.660367
0.500000	7.209011	3.805841
0.515000	3.813050	1.633813
0.534999	2.713907	2.207156
0.544999	4.962263	2.220762
0.545000	3.885300	2.389907
0.550000	3.689571	3.804447
0.550000	8.884945	4.223123
0.564999	6.473337	2.951750
0.595000	10.724601	5.451866
0.595000	3.368367	5.711762
0.595002	4.399756	4.499411
0.614999	7.081805	3.582465
0.644999	12.679881	7.286113
0.644999	3.810527	4.447088
0.665000	7.925386	3.041127
0.694999	7.143568	2.981854
0.695000	4.761538	2.535161
0.700000	5.775825	2.672255
0.714999	8.996342	2.807958
0.745000	6.496898	2.518248
0.764999	10.718889	3.300032
0.794999	6.475366	3.243957
0.795000	9.728789	2.580505
0.814999	11.780605	3.828836
0.819999	6.689747	3.888543
0.840000	11.849667	3.624235
0.844999	6.436865	5.730339
0.865000	12.059782	4.324209
