20.000000	41
0.050000	0.019452	0.340705
0.050000	0.296463	0.196584
0.080000	0.294696	0.238316
0.100000	0.461883	0.872364
0.150000	0.071787	1.255957
0.190000	0.656042	1.039738
0.199999	2.492938	1.615589
0.200000	1.806405	1.018703
0.250000	1.787050	0.806523
0.299999	1.339762	0.878601
0.324999	2.904058	1.477489
0.340000	0.964087	1.155478
0.350000	1.883678	0.818508
0.399999	1.061882	1.558893
0.400000	2.568354	1.351765
0.430000	2.716104	3.655168
0.444999	3.406332	3.705038
0.450000	0.348521	4.811109
0.494999	11.120176	9.160609
0.545000	0.791916	4.599620
0.565000	2.013503	3.951265
0.594999	2.890000	3.535694
0.595000	3.501170	1.389347
0.644999	3.883707	1.182961
0.645000	3.750113	1.841822
0.654999	4.703945	2.411057
0.695000	5.637073	2.078801
0.724999	7.631327	2.945233
0.744999	9.437828	3.770338
0.794999	5.644302	6.604632
0.794999	11.781538	4.806244
0.844999	14.466747	6.829407
0.894999	16.953001	8.464544
0.910000	5.128523	8.771291
0.944999	5.741781	7.915576
0.944999	18.842215	11.482473
0.994999	6.502748	5.108300
1.040000	6.984767	4.884080
1.090000	7.224742	5.211284
1.130000	7.544251	0.612971
1.140000	7.599902	0.417226
30.000000	63
0.050000	0.371034	0.455780
0.070000	0.429442	0.797630
0.095001	1.122977	0.768377
0.100000	0.604219	0.883568
0.145001	1.854189	1.226433
0.150000	0.073298	1.309778
0.195001	2.180869	1.341584
0.200000	0.581581	1.331183
0.245000	1.091936	1.078754
0.245001	2.326458	0.894336
0.250000	2.282060	0.866089
0.295001	2.340120	0.678644
0.300000	1.871454	0.409907
0.345001	2.145327	0.656926
0.350000	1.368406	0.824630
0.395001	2.162668	0.867593
0.399999	0.783799	1.086616
0.445001	2.511461	1.335099
0.450000	0.829474	1.325528
0.494999	0.810050	1.697378
0.495001	3.258456	1.819542
0.544999	1.011814	2.105942
0.545000	3.700601	2.011938
0.565000	4.731157	2.353804
0.595000	1.664118	2.755920
0.595000	5.516560	2.392079
0.644999	2.250357	3.107533
0.645001	5.714559	2.590065
0.695000	3.309962	3.146881
0.740000	7.508778	3.375405
0.745000	4.040241	3.532072
0.790000	8.739500	3.584757
0.794999	4.995921	3.825378
0.840001	10.080889	3.989106
0.844999	5.873912	4.470431
0.890000	11.315034	4.322329
0.895000	6.600891	5.048753
0.940000	13.817029	5.535166
0.944999	7.772160	5.128662
0.990000	14.640349	5.281889
0.994999	8.798629	4.332750
1.040000	15.461705	5.145267
1.044999	10.156259	3.304145
1.064999	11.254835	2.480162
1.090000	12.495760	2.038759
1.140000	13.110260	2.909425
1.144999	13.898154	2.547586
1.190000	15.100550	2.784229
1.190000	18.911999	3.994364
1.224999	15.566137	2.740280
1.235001	19.524997	3.260835
1.240000	15.620624	3.127641
1.240000	19.462999	2.679563
1.290000	15.929691	3.134742
1.290000	19.834082	2.757236
1.335001	20.173745	2.702057
1.340000	16.373975	2.713243
1.385001	20.459543	2.609660
1.390000	16.909667	2.528670
1.410000	17.137729	2.042288
1.435001	20.706806	3.024503
1.440000	17.502929	1.647686
1.489999	17.833558	1.717464
40.000000	84
0.050000	0.812690	0.573680
0.050000	0.315245	0.515111
0.055000	0.028405	0.702639
0.075001	1.165922	0.771680
0.095001	0.404552	0.521848
0.100000	0.607795	0.552640
0.145001	0.431499	0.615369
0.149999	1.333407	0.723360
0.194999	1.373539	0.736159
0.195001	0.435428	1.049848
0.220000	1.692297	0.787051
0.245000	2.264891	1.380091
0.245001	0.436193	1.292444
0.294999	1.662214	0.805032
0.295001	0.461770	1.331868
0.300000	2.332704	1.382599
0.344999	2.023583	1.063746
0.345001	0.564823	1.046768
0.395000	1.494962	0.782775
0.395001	0.713424	0.680932
0.444999	1.215286	0.598132
0.445001	0.426791	0.595575
0.490001	0.399441	0.519575
0.494999	0.889624	0.457243
0.495001	0.688359	0.415513
0.545000	1.128180	0.696445
0.545001	0.117318	1.006232
0.594999	1.257549	0.897514
0.595001	0.084041	1.435221
0.644999	1.799396	1.469229
0.645000	0.024007	2.007848
0.669999	2.719313	2.014301
0.694999	3.498843	2.312342
0.695001	0.439145	2.662925
0.740000	0.853292	2.332779
0.744999	3.886915	2.399067
0.790000	4.408419	2.896810
0.790001	1.249341	2.649133
0.840000	1.424439	2.634242
0.890000	6.081470	3.403493
0.890001	2.527567	3.539198
0.940000	3.356276	3.941648
0.940002	7.349993	3.062405
0.964999	8.505194	3.748273
0.990000	9.594301	3.861144
0.990001	4.336053	3.965805
1.040000	9.972014	3.293306
1.040001	5.529487	3.780108
1.090000	6.993607	2.894084
1.140000	8.419621	2.678287
1.140000	11.657760	3.510365
